Light,Nutrient,Label,Treatment,Total_Neo,Neo_Surv,Prop_Surv,All_Neo,All_Surv,Prop_All
Blue,High,Blue_HP_R1,Blue_HP,7,7,1,168,123,0.732142857
Blue,High,Blue_HP_R2,Blue_HP,7,7,1,,,
Blue,High,Blue_HP_R3,Blue_HP,7,6,0.857142857,,,
Broad,High,Full_HP_R1,Broad_HP,7,0,0,,,
Broad,High,Full_HP_R2,Broad_HP,7,0,0,,,
Broad,High,Full_HP_R3,Broad_HP,7,0,0,,,
Green,High,Green_HP_R1,Green_HP,7,7,1,,,
Green,High,Green_HP_R2,Green_HP,7,0,0,,,
Green,High,Green_HP_R3,Green_HP,7,5,0.714285714,,,
Red,High,Red_HP_R1,Red_HP,7,3,0.428571429,,,
Red,High,Red_HP_R2,Red_HP,7,7,1,,,
Red,High,Red_HP_R3,Red_HP,7,1,0.142857143,,,
Blue,Low,Blue_LP_R1,Blue_LP,7,7,1,,,
Blue,Low,Blue_LP_R2,Blue_LP,7,7,1,,,
Blue,Low,Blue_LP_R3,Blue_LP,7,7,1,,,
Broad,Low,Full_LP_R1,Broad_LP,7,6,0.857142857,,,
Broad,Low,Full_LP_R2,Broad_LP,7,5,0.714285714,,,
Broad,Low,Full_LP_R3,Broad_LP,7,7,1,,,
Green,Low,Green_LP_R1,Green_LP,7,7,1,,,
Green,Low,Green_LP_R2,Green_LP,7,7,1,,,
Green,Low,Green_LP_R3,Green_LP,7,7,1,,,
Red,Low,Red_LP_R1,Red_LP,7,7,1,,,
Red,Low,Red_LP_R2,Red_LP,7,7,1,,,
Red,Low,Red_LP_R3,Red_LP,7,6,0.857142857,,,